Year,Region ,Total Population 16 Years and Older,Total Civilian Labor Force,Total Unemployed,Total Unemployment Rate,White Alone Population 16 Years and Older,White Alone Civilian Labor Force,White Alone Unemployed,White Alone Unemployment Rate,Black or African American Alone Population 16 Years and Older,Black or African American Alone Civilian Labor Force,Black or African American Alone Unemployed,Black or African American Alone Unemployment Rate,Asian Alone Population 16 Years and Older,Asian Alone Civilian Labor Force,Asian Alone Unemployed,Asian Alone Unemployment Rate,Hispanic or Latino Population 16 Years and Older,Hispanic or Latino Civilian Labor Force,Hispanic or Latino Unemployed,Hispanic or Latino Unemployment Rate
2023,New York State,16085096,10111576,504499,4.99,9105604,5641591,224241,3.97,2286412,1403827,105995,7.55,1496372,957473,42732,4.46,2983369,1951423,128569,6.59
2023,Capital Region,926889,578457,24631,4.26,742633,459742,17387,3.78,62088,36980,3547,9.59,36172,25111,1077,4.29,48767,33129,1341,4.05
2023,Central New York,637393,390193,14708,3.77,530200,322803,10751,3.33,42242,25247,2427,9.61,17238,10159,,,28192,18834,,
2023,Finger Lakes,996205,611305,21813,3.57,791141,483712,13677,2.83,91730,52537,4178,7.95,26431,16769,,,71873,47105,2538,5.39
2023,Hudson Valley,1930124,1233924,57735,4.68,1193103,729509,28596,3.92,222236,142493,9915,6.96,95319,64217,1928,3,411587,294783,19581,6.64
2023,Long Island,2371703,1519094,56601,3.73,1486956,909205,30482,3.35,223699,149290,8044,5.39,194496,128508,4722,3.67,451231,321249,11059,3.44
2023,Mohawk Valley,396246,233976,10293,4.4,340131,202160,8999,4.45,12642,6255,,,9238,5492,,,23717,14444,,
2023,New York City,6799977,4352238,274705,6.31,2350053,1549654,81336,5.25,1492696,916591,73625,8.03,1050416,666895,30813,4.62,1853264,1164026,88421,7.6
2023,North Country,342007,184129,4897,2.66,302422,165631,4413,2.66,9890,2706,,,4410,2306,,,13319,6450,,
2023,Southern Tier,527988,303981,14689,4.83,449943,258717,10911,4.22,19332,9814,1620,16.51,22509,11950,1197,10.02,21240,13612,,
2023,Western New York,1156564,704279,24427,3.47,919022,560458,17689,3.16,109857,61914,2419,3.91,40143,26066,1146,4.4,60179,37791,3080,8.15
2022,New York State,16158266,10129348,511980,5.05,9185799,5696593,209469,3.68,2288959,1396344,124632,8.93,1496923,953038,39981,4.2,2972560,1930300,128474,6.66
2022,Capital Region,934210,583012,25581,4.39,755310,465982,15200,3.26,65924,42341,5458,12.89,37038,24953,,,47868,29950,3287,10.97
2022,Central New York,636036,391081,17005,4.35,530585,325408,12158,3.74,43895,27582,2602,9.43,17126,9515,,,24689,14672,1343,9.15
2022,Finger Lakes,1001702,623860,25652,4.11,789616,491911,14402,2.93,91865,52300,4492,8.59,27406,18604,,,69381,45018,3803,8.45
2022,Hudson Valley,1926270,1212408,51105,4.22,1205525,736421,24750,3.36,223736,140297,8301,5.92,95811,59054,1728,2.93,386361,266887,15280,5.73
2022,Long Island,2384983,1566569,60839,3.88,1529690,965539,33702,3.49,223522,152673,7705,5.05,195495,130443,4365,3.35,424010,312985,13003,4.15
2022,Mohawk Valley,394910,226470,6536,2.89,341774,197652,5534,2.8,12517,5986,,,9596,4771,,,22082,13590,,
