Row Created Date Time, Sponsor Name, Sponsor Code, Agency Name, Agency Code,Facility Name, Facility Code, Program Name, Program Code, Populations Served, Agency Phone, Program Phone,  Program Address 1, Program Address 2, Program City, Program State, Program Zip, Operating Certificate Required?, Program Tier, Operating Certificate Duration, Program County, Program Region, Program Type Description, Program Category Description, Program Subcategory Description,Georeference
1/31/2025 10:21,Equinox Inc.,280099,Equinox Inc.,14510,Equinox Inc.,7524,Cohoes Community Residence,430,Adults,(518)435-9931,Not Available,,,,NY,,Y,,36,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,POINT (-73.75522 42.65155)
1/31/2025 10:21,Bowery Residents' Committee Inc.,56099,Bowery Residents' Committee Inc.,50490,Bowery Residents' Committee Inc.,6005,BRC Supported Housing/RCE New York SH - Comm Svcs,643,Adults,(212)803-5700,Not Available,,,,NY,,N,,,Bronx,New York City,Supportive Housing,Residential,Unlicensed Housing,POINT (-73.75522 42.65155)
1/31/2025 10:21,Services for the Underserved Inc.,419099,Services for the Underserved Inc.,22360,Services for the Underserved Inc.,7320,Home Street ESSHI,31,Adults,(212)633-6900,Not Available,,,,NY,,N,,,Bronx,New York City,Supportive Single Room Occupancy (SP-SRO),Residential,Unlicensed Housing,POINT (-73.75522 42.65155)
1/31/2025 10:21,Urban Pathways,534099,Urban Pathways,19690,Urban Pathways,8084,162nd Street Residence Supported,12,Adults,(212)736-7385,Not Available,,,,NY,,N,,,Bronx,New York City,Supportive Single Room Occupancy (SP-SRO),Residential,Unlicensed Housing,POINT (-73.75522 42.65155)
1/31/2025 10:21,Cayuga County Community Services Board,80099,Cayuga County Community Services Board,70350,Cayuga County Community Services Board,7240,CNYDPG-Advocacy/Support Services,25,,(315)253-0341,(315)253-1076,7 Clayton Avenue,,Cortland,NY,13045,N,,,Cayuga,Central New York,Advocacy/Support Services,Support,Self-Help,POINT (-76.1812 42.59801)
1/31/2025 10:21,Veterans' Service Agency,1852,Veterans' Service Agency,52710,Veterans' Service Agency,8841,Veterans Peer to Peer Program,2,Adults,(315)253-1281,(315)253-1281,95 Genesee Street,3rd Floor,Auburn,NY,13021,N,,,Cayuga,Central New York,Outreach,Support,General Support,POINT (-76.56707 42.93132)
1/31/2025 10:21,CHDFS Inc.,939,CHDFS Inc.,48090,CHDFS Inc.,8365,CHDFS SMH CMA,25,Adults,(212)695-4564,(845)203-8555,One Blue Hill Plaza,3rd Floor,Pearl River,NY,10965,N,,,Dutchess,Hudson River,Specialty Mental Health Care Management,Support,Care Coordination,POINT (-74.00703 41.04896)
1/31/2025 10:21,Rockland Psychiatric Center,916099,Rockland Psychiatric Center,90150,Rockland Psychiatric Center,16,Highview Community Residence,852,Adults,(845)359-1000,Not Available,,,,NY,,Y,,36,Dutchess,Hudson River,Congregate/Treatment,Residential,Treatment Program,POINT (-73.75522 42.65155)
1/31/2025 10:21,Living Opportunities of DePaul Inc.,310099,Living Opportunities of DePaul Inc.,10450,Living Opportunities of DePaul Inc.,7121,UB Educational Grant,3,Children,(716)391-5400,(716)608-1000x1312,2240 Old Union Road,,Cheektowaga,NY,14227,N,,,Erie,Western New York,Advocacy/Support Services,Support,Self-Help,POINT (-78.75585 42.87144)
1/31/2025 10:21,Mental Health Association of Erie County dba Mental Health Advocates of Western NY,538099,MHA Erie County dba MH Advocates WNY,10550,MHA Erie County dba MH Advocates WNY,7222,MH ASSN/ERIE CO-PC & E,470,,(716)886-1242,(716)886-1242x326,1021 Broadway St. 5th Floor,,Buffalo,NY,14212,N,,,Erie,Western New York,Advocacy/Support Services,Support,Self-Help,POINT (-78.8367 42.89305)
